district,transaction_house,transaction_time,transaction_area,total_price,average_price,storey,deco,house_url,agent_name,career_years,agent_location,agent_rank,agent_url
亦庄开发区,泰河园一里一区,2020-01,69.95平米,265-292万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/BJ0033124104.html,,,,,
亦庄开发区,贵园南里丁区,2020-01,90.19平米,410-453万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/BJ0033219772.html,,,,,
亦庄开发区,上海沙龙,2018-08,142.63平米,752万,52724元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101103101688.html,王晓晴,5年以上,金茂中心B店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020069327/
海淀,稻香园西里,2020-08,37.39平米,451-460万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101108209859.html,武彬彬,5年以上,小南庄一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020096281/
亦庄开发区,紫禁壹号院北院,2020-01,179.04平米,1030万,57530元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101105710492.html,刘海洋,4-5年,筑华年店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020203378/
门头沟,金泰丽湾悦栖山,2018-10,140.28平米,545万,38851元/平,顶层,毛坯,https://bj.lianjia.com/chengjiao/101103205017.html,武哲英,4-5年,惠民家园二区店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020210129/
石景山,苹果园小区二区,2020-01,58.44平米,270万,46202元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101106641680.html,侯少佳,5年以上,鼎城店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020070092/
亦庄开发区,好景国际,2020-01,46平米,122-135万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101106125008.html,张伟,4-5年,格林云墅店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020267539/
东城,小黄庄二区,2020-03,58.53平米,548万,93628元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101106167280.html,黄占年,5年以上,亚运村安慧里店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020051064/
东城,交道口北二条35号院,2020-03,63.09平米,710万,112538元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101104057576.html,马庆勋,5年以上,交东小区店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020056185/
