status,price,bedroom,bathroom,carpark,area,type,address,zipcode,house_url,agent_name,agent_position,agent_company,agent_sale,agent_phone,agent_location,agent_url
Sold by private treaty 7 Oct 2020,396500,4,1,2,542m²,House,8 Alkemade Drive Melton VIC 3337,3337,https://www.domain.com.au/8-alkemade-drive-melton-vic-3337-2016376188,Ned Nikolic,Sales Executive,Barry Plant Melton,19,0401 284 479,"273 High St, Melton VIC 3337 273 High St, Melton VIC 3337",https://www.domain.com.au/real-estate-agent/ned-nikolic-756551/
Sold by private treaty 7 Oct 2020,595550,3,2,2,408m²,House,16 Aleman Green Mernda VIC 3754,3754,https://www.domain.com.au/16-aleman-green-mernda-vic-3754-2016517488,Jon Michael,Director & Auctioneer,Fletchers Real Estate Eltham,4,0438 988 096,"951 Main Road, Eltham VIC 3095 951 Main Road, Eltham VIC 3095 951 Main Road, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/jon-michael-1492601/
Sold by private treaty 7 Oct 2020,853000,3,1,2,,House,8 Johnson Street Moonee Ponds VIC 3039,3039,https://www.domain.com.au/8-johnson-street-moonee-ponds-vic-3039-2016289352,Julia Murphy,Property Consultant,McDonald Upton,1,,"1112 Mt Alexander Road, Essendon VIC 3040 1112 Mt Alexander Road, Essendon VIC 3040",https://www.domain.com.au/real-estate-agent/julia-murphy-1073329/
Sold by private treaty 7 Oct 2020,650000,3,2,2,500m²,House,12 Lawson Court Mornington VIC 3931,3931,https://www.domain.com.au/12-lawson-court-mornington-vic-3931-2016272185,Bill Branthwaite,Senior Sales Consultant,Nicholas Lynch,2,0438 148 858,"Suite 8, 1A Main Street, Mornington VIC 3931 Suite 8, 1A Main Street, Mornington VIC 3931 Suite 8, 1A Main Street, Mornington VIC 3931",https://www.domain.com.au/real-estate-agent/bill-branthwaite-1463186/
Sold by private treaty 7 Oct 2020,1250000,6,3,2,"1,335m²",House,57 Wooralla Drive Mount Eliza VIC 3930,3930,https://www.domain.com.au/57-wooralla-drive-mount-eliza-vic-3930-2016349583,James Merchan,Sales representative,Impact Realty Group,13,0433 480 870,"2/70 Mountain View Road, Mount Eliza VIC 3930",https://www.domain.com.au/real-estate-agent/james-merchan-1628757/
Sold by private treaty 7 Oct 2020,1425000,4,3,1,,House,8 Beal Street Mount Waverley VIC 3149,3149,https://www.domain.com.au/8-beal-street-mount-waverley-vic-3149-2016517676,Ming Xu,Director,Biggin & Scott Glen Waverley,16,0400 655 610,"45 Myrtle Street, Glen Waverley VIC 3150 45 Myrtle Street, Glen Waverley VIC 3150",https://www.domain.com.au/real-estate-agent/ming-xu-1356004/
Sold by private treaty 7 Oct 2020,610500,4,2,2,378m²,House,3 Kingly  Place Narre Warren VIC 3805,3805,https://www.domain.com.au/3-kingly-place-narre-warren-vic-3805-2016497004,Phil Cass,Sales Consultant,Barry Plant Narre Warren,6,0422 681 893,"Suite 7, Ground Floor, 64 Victor Crescent, Narre Warren VIC 3805",https://www.domain.com.au/real-estate-agent/phil-cass-1700031/
Sold by private treaty 7 Oct 2020,495000,4,2,2,,House,13 Jobbins Street North Geelong VIC 3215,3215,https://www.domain.com.au/13-jobbins-street-north-geelong-vic-3215-2016190922,Shane_ King,Sales representative,Harcourts North Geelong,8,0411 141 463,"127 Separation Street, North Geelong VIC 3215 127 Separation Street, North Geelong VIC 3215",https://www.domain.com.au/real-estate-agent/shane-king-1256652/
Sold by private treaty 7 Oct 2020,685000,3,2,1,236m²,Townhouse,3/43 Orton Street Ocean Grove VIC 3226,3226,https://www.domain.com.au/3-43-orton-street-ocean-grove-vic-3226-2016219943,,,Hayden Real Estate Ocean Grove,,, ,https://www.domain.com.au/real-estate-agencies/haydenrealestateoceangrove-8411/
Sold by private treaty 7 Oct 2020,334900,,,,473m²,Vacantland,Lot 225 Duneview Drive Ocean Grove VIC 3226,3226,https://www.domain.com.au/lot-225-duneview-drive-ocean-grove-vic-3226-2016486865,Mark Blaskovic,Property Consultant,Ocean Grove Real Estate,12,0422 146 256,"22 Kingston Downs Drive, Ocean Grove VIC 3226 22 Kingston Downs Drive, Ocean Grove VIC 3226 22 Kingston Downs Drive, Ocean Grove VIC 3226",https://www.domain.com.au/real-estate-agent/mark-blaskovic-1626516/
